"mturk_worker_id","template_name","nanotask_id","id","value","time_created","name","ticket_id"
"A2B227N1NQYS56","pre_survey","2959","43825","yes","2019-04-06 17:14:32.463732","dur_pref","18321"
"A2B227N1NQYS56","pre_survey","2959","43826","1","2019-04-06 17:14:32.496349","dur_start_min","18321"
"A2B227N1NQYS56","pre_survey","2959","43827","0","2019-04-06 17:14:32.529890","dur_start_sec","18321"
"A2B227N1NQYS56","pre_survey","2959","43828","5","2019-04-06 17:14:32.563293","dur_end_min","18321"
"A2B227N1NQYS56","pre_survey","2959","43829","0","2019-04-06 17:14:32.596755","dur_end_sec","18321"
"A2B227N1NQYS56","pre_survey","2959","43830","5","2019-04-06 17:14:32.630243","worker_years","18321"
"A2B227N1NQYS56","pre_survey","2959","43831","4","2019-04-06 17:14:32.663638","worker_hours","18321"
"A8WLCSZLNZ8BL","pre_survey","2959","22504","no","2019-04-06 15:33:11.493623","dur_pref","18322"
"A8WLCSZLNZ8BL","pre_survey","2959","22505",,"2019-04-06 15:33:11.526533","dur_start_min","18322"
"A8WLCSZLNZ8BL","pre_survey","2959","22506",,"2019-04-06 15:33:11.593387","dur_start_sec","18322"
"A8WLCSZLNZ8BL","pre_survey","2959","22507",,"2019-04-06 15:33:11.660245","dur_end_min","18322"
"A8WLCSZLNZ8BL","pre_survey","2959","22508",,"2019-04-06 15:33:11.693541","dur_end_sec","18322"
"A8WLCSZLNZ8BL","pre_survey","2959","22509","9","2019-04-06 15:33:11.726927","worker_years","18322"
"A8WLCSZLNZ8BL","pre_survey","2959","22510","8","2019-04-06 15:33:11.760325","worker_hours","18322"
"A3RS7UCO7CQ74R","pre_survey","2959","44104","yes","2019-04-06 17:37:10.162574","dur_pref","18323"
"A3RS7UCO7CQ74R","pre_survey","2959","44105","10","2019-04-06 17:37:10.195522","dur_start_min","18323"
"A3RS7UCO7CQ74R","pre_survey","2959","44106","0","2019-04-06 17:37:10.237376","dur_start_sec","18323"
"A3RS7UCO7CQ74R","pre_survey","2959","44107","20","2019-04-06 17:37:10.270691","dur_end_min","18323"
"A3RS7UCO7CQ74R","pre_survey","2959","44108","0","2019-04-06 17:37:10.304206","dur_end_sec","18323"
"A3RS7UCO7CQ74R","pre_survey","2959","44109","2","2019-04-06 17:37:10.337972","worker_years","18323"
"A3RS7UCO7CQ74R","pre_survey","2959","44110","8","2019-04-06 17:37:10.371279","worker_hours","18323"
"A2H5UA2MUBT4QX","pre_survey","2959","22572","no","2019-04-06 15:34:18.244626","dur_pref","18324"
"A2H5UA2MUBT4QX","pre_survey","2959","22573","0","2019-04-06 15:34:18.277575","dur_start_min","18324"
"A2H5UA2MUBT4QX","pre_survey","2959","22574","0","2019-04-06 15:34:18.311085","dur_start_sec","18324"
"A2H5UA2MUBT4QX","pre_survey","2959","22575","6","2019-04-06 15:34:18.344552","dur_end_min","18324"
"A2H5UA2MUBT4QX","pre_survey","2959","22576","0","2019-04-06 15:34:18.378020","dur_end_sec","18324"
"A2H5UA2MUBT4QX","pre_survey","2959","22577","2","2019-04-06 15:34:18.411442","worker_years","18324"
"A2H5UA2MUBT4QX","pre_survey","2959","22578","5","2019-04-06 15:34:18.461661","worker_hours","18324"
"A1PS11IRT9EFRI","pre_survey","2959","44356","yes","2019-04-06 19:27:41.932653","dur_pref","18325"
"A1PS11IRT9EFRI","pre_survey","2959","44357","10","2019-04-06 19:27:41.965026","dur_start_min","18325"
"A1PS11IRT9EFRI","pre_survey","2959","44358","30","2019-04-06 19:27:41.998445","dur_start_sec","18325"
"A1PS11IRT9EFRI","pre_survey","2959","44359","60","2019-04-06 19:27:42.031888","dur_end_min","18325"
"A1PS11IRT9EFRI","pre_survey","2959","44360","5","2019-04-06 19:27:42.065272","dur_end_sec","18325"
"A1PS11IRT9EFRI","pre_survey","2959","44361","20","2019-04-06 19:27:42.098740","worker_years","18325"
"A1PS11IRT9EFRI","pre_survey","2959","44362","8","2019-04-06 19:27:42.132194","worker_hours","18325"
"A23AP978617EJS","pre_survey","2959","23785","yes","2019-04-06 15:36:13.306827","dur_pref","18326"
"A23AP978617EJS","pre_survey","2959","23787","15","2019-04-06 15:36:13.356146","dur_start_min","18326"
"A23AP978617EJS","pre_survey","2959","23788","25","2019-04-06 15:36:13.405924","dur_start_sec","18326"
"A23AP978617EJS","pre_survey","2959","23789","20","2019-04-06 15:36:13.439177","dur_end_min","18326"
"A23AP978617EJS","pre_survey","2959","23790","12","2019-04-06 15:36:13.472762","dur_end_sec","18326"
"A23AP978617EJS","pre_survey","2959","23791","6","2019-04-06 15:36:13.522885","worker_years","18326"
"A23AP978617EJS","pre_survey","2959","23792","8","2019-04-06 15:36:13.556478","worker_hours","18326"
"A5ZY0QRQWZQ7G","pre_survey","2959","22541","yes","2019-04-06 15:34:11.638940","dur_pref","18327"
"A5ZY0QRQWZQ7G","pre_survey","2959","22542","20","2019-04-06 15:34:11.671521","dur_start_min","18327"
"A5ZY0QRQWZQ7G","pre_survey","2959","22543","50","2019-04-06 15:34:11.704967","dur_start_sec","18327"
"A5ZY0QRQWZQ7G","pre_survey","2959","22544","30","2019-04-06 15:34:11.738414","dur_end_min","18327"
"A5ZY0QRQWZQ7G","pre_survey","2959","22545","10","2019-04-06 15:34:11.771827","dur_end_sec","18327"
"A5ZY0QRQWZQ7G","pre_survey","2959","22546","3","2019-04-06 15:34:11.805264","worker_years","18327"
"A5ZY0QRQWZQ7G","pre_survey","2959","22547","7","2019-04-06 15:34:11.838685","worker_hours","18327"
"A3SJNIZT71NBK2","pre_survey","2959","22886","yes","2019-04-06 15:35:04.835329","dur_pref","18329"
"A3SJNIZT71NBK2","pre_survey","2959","22887","5","2019-04-06 15:35:04.868225","dur_start_min","18329"
"A3SJNIZT71NBK2","pre_survey","2959","22888","0","2019-04-06 15:35:04.901888","dur_start_sec","18329"
"A3SJNIZT71NBK2","pre_survey","2959","22889","30","2019-04-06 15:35:04.935266","dur_end_min","18329"
"A3SJNIZT71NBK2","pre_survey","2959","22890","0","2019-04-06 15:35:04.968530","dur_end_sec","18329"
"A3SJNIZT71NBK2","pre_survey","2959","22891","1","2019-04-06 15:35:05.002140","worker_years","18329"
"A3SJNIZT71NBK2","pre_survey","2959","22892","5","2019-04-06 15:35:05.035593","worker_hours","18329"
"A3OV174HQJIJK8","pre_survey","2959","22514","yes","2019-04-06 15:33:57.871965","dur_pref","18330"
"A3OV174HQJIJK8","pre_survey","2959","22515","1","2019-04-06 15:33:57.921981","dur_start_min","18330"
"A3OV174HQJIJK8","pre_survey","2959","22516","0","2019-04-06 15:33:57.963761","dur_start_sec","18330"
"A3OV174HQJIJK8","pre_survey","2959","22517","20","2019-04-06 15:33:58.005515","dur_end_min","18330"
"A3OV174HQJIJK8","pre_survey","2959","22518","0","2019-04-06 15:33:58.030477","dur_end_sec","18330"
"A3OV174HQJIJK8","pre_survey","2959","22519","5","2019-04-06 15:33:58.055456","worker_years","18330"
"A3OV174HQJIJK8","pre_survey","2959","22520","5","2019-04-06 15:33:58.080758","worker_hours","18330"
"A2QYG0AO137H0H","pre_survey","2959","23688","no","2019-04-06 15:36:07.772161","dur_pref","18331"
"A2QYG0AO137H0H","pre_survey","2959","23691","70","2019-04-06 15:36:07.847056","dur_start_min","18331"
"A2QYG0AO137H0H","pre_survey","2959","23695","10","2019-04-06 15:36:07.924959","dur_start_sec","18331"
"A2QYG0AO137H0H","pre_survey","2959","23698",,"2019-04-06 15:36:07.998060","dur_end_min","18331"
"A2QYG0AO137H0H","pre_survey","2959","23700",,"2019-04-06 15:36:08.048288","dur_end_sec","18331"
"A2QYG0AO137H0H","pre_survey","2959","23701","4","2019-04-06 15:36:08.098619","worker_years","18331"
"A2QYG0AO137H0H","pre_survey","2959","23702","8","2019-04-06 15:36:08.123698","worker_hours","18331"
"A1TSD3O3C3ZUT6","pre_survey","2959","23430","yes","2019-04-06 15:35:48.545190","dur_pref","18332"
"A1TSD3O3C3ZUT6","pre_survey","2959","23431","10","2019-04-06 15:35:48.577798","dur_start_min","18332"
"A1TSD3O3C3ZUT6","pre_survey","2959","23432","0","2019-04-06 15:35:48.611272","dur_start_sec","18332"
"A1TSD3O3C3ZUT6","pre_survey","2959","23433","0","2019-04-06 15:35:48.678215","dur_end_min","18332"
"A1TSD3O3C3ZUT6","pre_survey","2959","23434","0","2019-04-06 15:35:48.711914","dur_end_sec","18332"
"A1TSD3O3C3ZUT6","pre_survey","2959","23435","02","2019-04-06 15:35:48.745036","worker_years","18332"
"A1TSD3O3C3ZUT6","pre_survey","2959","23437","10","2019-04-06 15:35:48.811944","worker_hours","18332"
"ADH9I9TEDVL9K","pre_survey","2959","28014","yes","2019-04-06 15:38:57.283332","dur_pref","18333"
"ADH9I9TEDVL9K","pre_survey","2959","28017","10","2019-04-06 15:38:57.332298","dur_start_min","18333"
"ADH9I9TEDVL9K","pre_survey","2959","28018","1","2019-04-06 15:38:57.390722","dur_start_sec","18333"
"ADH9I9TEDVL9K","pre_survey","2959","28019","20","2019-04-06 15:38:57.424835","dur_end_min","18333"
"ADH9I9TEDVL9K","pre_survey","2959","28020","1","2019-04-06 15:38:57.477236","dur_end_sec","18333"
"ADH9I9TEDVL9K","pre_survey","2959","28021","3","2019-04-06 15:38:57.546146","worker_years","18333"
"ADH9I9TEDVL9K","pre_survey","2959","28022","5","2019-04-06 15:38:57.576357","worker_hours","18333"
"A3JZRD6IA5B1U2","pre_survey","2959","44497","yes","2019-04-06 19:29:00.492790","dur_pref","18334"
"A3JZRD6IA5B1U2","pre_survey","2959","44498","1","2019-04-06 19:29:00.558598","dur_start_min","18334"
"A3JZRD6IA5B1U2","pre_survey","2959","44499","0","2019-04-06 19:29:00.592020","dur_start_sec","18334"
"A3JZRD6IA5B1U2","pre_survey","2959","44500","2","2019-04-06 19:29:00.625444","dur_end_min","18334"
"A3JZRD6IA5B1U2","pre_survey","2959","44501","3","2019-04-06 19:29:00.658876","dur_end_sec","18334"
"A3JZRD6IA5B1U2","pre_survey","2959","44502","1","2019-04-06 19:29:00.692568","worker_years","18334"
"A3JZRD6IA5B1U2","pre_survey","2959","44503","1","2019-04-06 19:29:00.725642","worker_hours","18334"
"A3L3QOG7X0242","pre_survey","2959","22548","yes","2019-04-06 15:34:13.381406","dur_pref","18335"
"A3L3QOG7X0242","pre_survey","2959","22549","09","2019-04-06 15:34:13.414342","dur_start_min","18335"
"A3L3QOG7X0242","pre_survey","2959","22550","00","2019-04-06 15:34:13.456180","dur_start_sec","18335"
"A3L3QOG7X0242","pre_survey","2959","22551","10","2019-04-06 15:34:13.481332","dur_end_min","18335"
"A3L3QOG7X0242","pre_survey","2959","22552","00","2019-04-06 15:34:13.506427","dur_end_sec","18335"
"A3L3QOG7X0242","pre_survey","2959","22553","2","2019-04-06 15:34:13.531515","worker_years","18335"
"A3L3QOG7X0242","pre_survey","2959","22554","7","2019-04-06 15:34:13.556635","worker_hours","18335"
"A2TY9UFU76QU6K","pre_survey","2959","44414","no","2019-04-06 19:28:40.143760","dur_pref","18336"
"A2TY9UFU76QU6K","pre_survey","2959","44416",,"2019-04-06 19:28:40.201516","dur_start_min","18336"
"A2TY9UFU76QU6K","pre_survey","2959","44417",,"2019-04-06 19:28:40.268417","dur_start_sec","18336"
"A2TY9UFU76QU6K","pre_survey","2959","44418",,"2019-04-06 19:28:40.301889","dur_end_min","18336"
"A2TY9UFU76QU6K","pre_survey","2959","44419",,"2019-04-06 19:28:40.335314","dur_end_sec","18336"
"A2TY9UFU76QU6K","pre_survey","2959","44420","8","2019-04-06 19:28:40.368709","worker_years","18336"
"A2TY9UFU76QU6K","pre_survey","2959","44421","4","2019-04-06 19:28:40.402271","worker_hours","18336"
"A243X2Y9HP7630","pre_survey","2959","31786","yes","2019-04-06 15:41:28.865802","dur_pref","18337"
"A243X2Y9HP7630","pre_survey","2959","31789","15","2019-04-06 15:41:28.931283","dur_start_min","18337"
"A243X2Y9HP7630","pre_survey","2959","31791","0","2019-04-06 15:41:28.981178","dur_start_sec","18337"
"A243X2Y9HP7630","pre_survey","2959","31792","30","2019-04-06 15:41:29.033548","dur_end_min","18337"
"A243X2Y9HP7630","pre_survey","2959","31793","0","2019-04-06 15:41:29.065108","dur_end_sec","18337"
