"mturk_worker_id","template_name","nanotask_id","id","value","time_created","name","ticket_id"
"A32RV3F0QV5ZED","pre_survey","1644","6391","yes","2019-04-04 20:06:05.291309","dur_pref","10186"
"A32RV3F0QV5ZED","pre_survey","1644","6392","5","2019-04-04 20:06:05.324000","dur_start_min","10186"
"A32RV3F0QV5ZED","pre_survey","1644","6393","10","2019-04-04 20:06:05.365812","dur_start_sec","10186"
"A32RV3F0QV5ZED","pre_survey","1644","6394","25","2019-04-04 20:06:05.416182","dur_end_min","10186"
"A32RV3F0QV5ZED","pre_survey","1644","6395","30","2019-04-04 20:06:05.466267","dur_end_sec","10186"
"A32RV3F0QV5ZED","pre_survey","1644","6396","1","2019-04-04 20:06:05.499614","worker_years","10186"
"A32RV3F0QV5ZED","pre_survey","1644","6397","5","2019-04-04 20:06:05.533007","worker_hours","10186"
"A2WWMDOUR0HL4Q","pre_survey","1644","7422","no","2019-04-04 20:20:48.234758","dur_pref","10188"
"A2WWMDOUR0HL4Q","pre_survey","1644","7423",,"2019-04-04 20:20:48.259430","dur_start_min","10188"
"A2WWMDOUR0HL4Q","pre_survey","1644","7424",,"2019-04-04 20:20:48.284547","dur_start_sec","10188"
"A2WWMDOUR0HL4Q","pre_survey","1644","7425",,"2019-04-04 20:20:48.309683","dur_end_min","10188"
"A2WWMDOUR0HL4Q","pre_survey","1644","7426",,"2019-04-04 20:20:48.334718","dur_end_sec","10188"
"A2WWMDOUR0HL4Q","pre_survey","1644","7427","2","2019-04-04 20:20:48.359818","worker_years","10188"
"A2WWMDOUR0HL4Q","pre_survey","1644","7428","7","2019-04-04 20:20:48.384948","worker_hours","10188"
"A3ANBSLMOMNF29","pre_survey","1644","7088","yes","2019-04-04 20:15:50.403964","dur_pref","10189"
"A3ANBSLMOMNF29","pre_survey","1644","7089","1","2019-04-04 20:15:50.444617","dur_start_min","10189"
"A3ANBSLMOMNF29","pre_survey","1644","7090","20","2019-04-04 20:15:50.478040","dur_start_sec","10189"
"A3ANBSLMOMNF29","pre_survey","1644","7091","2","2019-04-04 20:15:50.511426","dur_end_min","10189"
"A3ANBSLMOMNF29","pre_survey","1644","7092","15","2019-04-04 20:15:50.544880","dur_end_sec","10189"
"A3ANBSLMOMNF29","pre_survey","1644","7093","5","2019-04-04 20:15:50.578298","worker_years","10189"
"A3ANBSLMOMNF29","pre_survey","1644","7094","5","2019-04-04 20:15:50.611720","worker_hours","10189"
"A2TB1WF7O3DC9S","pre_survey","1644","7173","yes","2019-04-04 20:17:06.581825","dur_pref","10191"
"A2TB1WF7O3DC9S","pre_survey","1644","7174","10","2019-04-04 20:17:06.614760","dur_start_min","10191"
"A2TB1WF7O3DC9S","pre_survey","1644","7175","0","2019-04-04 20:17:06.648283","dur_start_sec","10191"
"A2TB1WF7O3DC9S","pre_survey","1644","7176","0","2019-04-04 20:17:06.681625","dur_end_min","10191"
"A2TB1WF7O3DC9S","pre_survey","1644","7177","0","2019-04-04 20:17:06.714953","dur_end_sec","10191"
"A2TB1WF7O3DC9S","pre_survey","1644","7178","3","2019-04-04 20:17:06.749154","worker_years","10191"
"A2TB1WF7O3DC9S","pre_survey","1644","7179","8","2019-04-04 20:17:06.782099","worker_hours","10191"
"A250FES5PFCGK9","pre_survey","1644","7745","no","2019-04-04 20:32:59.148852","dur_pref","10192"
"A250FES5PFCGK9","pre_survey","1644","7746",,"2019-04-04 20:32:59.173606","dur_start_min","10192"
"A250FES5PFCGK9","pre_survey","1644","7747",,"2019-04-04 20:32:59.198656","dur_start_sec","10192"
"A250FES5PFCGK9","pre_survey","1644","7748",,"2019-04-04 20:32:59.223757","dur_end_min","10192"
